Gender Code,Hours Worked,Ordinary Pay,Special Salary,Overtime Hours,Overtime Pay,Bonus Pay
M,8760.01,150198,,79,3444.31,
M,8760,116615,,40,13253.19,3000
W,2059,148897,,82,12067.92,
M,1830,128775,,79,2818.9,7000
M,-1,104005,,91,3180.08,
W,1,103460,,90,11529.94,
M,2,135390,,57,7849.14,
M,2300,147043,,0,7757.55,
M,NA,115050,,51,6205.69,
M,1779C,119772,,72,11512.21,
W,,144984,,0,6536.15,
W,1806,,20000,0,3516.93,
W,1717,126970,,0,3868.26,5735
W,2086,125683,,0,7395.12,
W,1964,158143,,0,7901.65,
M,1948,114843,,87,10849.79,
M,2009,119029,,61,6677.29,
M,1899,145026,,67,6637.73,
M,1823,109327,,0,6431.41,
M,1859,153250,,0,5659.92,600
M,1663,138713,,43,5370.72,
W,1787,132428,,83,5297.74,
M,1745,159948,,78,12751.75,
M,1847,159878,,74,6106.43,
M,1946,114786,,100,8480,457
M,1804,142146,,0,5630.38,
W,1640,121111,,40,3262.02,
M,1657,159512,,45,6354.22,
M,1982,100219,,100,8296.01,
M,1619,124032,,0,6646.2,
M,1880,130513,,0,4185.68,
M,1994,112296,,62,8966.78,
M,1945,108381,,99,8892.06,
W,1855,158677,,39,9445.92,
W,1974,103234,,97,5235.12,
M,1792,110060,,47,5069.52,
M,1809,138089,,50,5238.64,
M,1868,152658,,79,6693.3,
M,1784,157680,,0,3910.4,
M,1794,128999,,0,6332.08,
M,1783,124558,,0,11261.09,
W,1708,106785,,79,4905.61,
W,2009,151847,,69,8930.09,
W,2020,147081,,71,6391.4,
W,1631,101532,,70,5237.92,
W,1750,154319,,52,11810.72,
M,1963,137924,,0,5755.27,
M,1954,102154,,88,5109.92,
M,1892,105889,,88,5315.82,
M,1626,119342,,40,6894.65,
M,1659,110492,,63,5341.83,
W,1725,126533,,0,8914.71,
W,1728,146096,,48,3035.62,
W,1917,153589,,88,9480,
M,2079,94421,,49,2513.56,
M,1660,97875,,0,4321.57,
M,1784,93930,,0,5685.38,
M,1919,99558,,97,3133.05,
M,1755,91145,,81,6611.76,
M,2056,99351,,89,3549.13,
M,1902,90802,,0,11005.71,
M,2001,90137,,44,5798.41,
M,2062,93405,,53,3325.33,
W,1855,97817,,0,6647.27,
W,1682,94414,,53,3915.86,
M,1755,95947,,46,10651.24,
M,1806,95346,,75,8433.52,
M,1780,94315,,0,11383.28,
M,1989,99141,,57,8660.5,
W,1679,92391,,95,6070.08,
W,1750,90768,,93,4255.57,
M,2078,96194,,64,9421.59,
M,1977,98049,,86,7414.81,
M,1661,95554,,58,5266.29,
M,1789,98884,,96,9789.66,
M,1886,96100,,89,4399.37,
M,1926,92482,,61,2915.63,
M,1896,90537,,65,9672.16,
W,1843,94965,,100,3193.12,
M,1715,96499,,92,5756.93,
M,1788,90661,,77,7248.05,
M,1670,97766,,77,5628.44,
W,1763,95626,,68,5618.74,
M,1946,96071,,60,4962.81,
M,2007,95457,,44,9168.58,
M,1733,93664,,90,9050.1,
W,1909,92361,,76,6872.64,
M,1652,92910,,41,9245.15,
M,1815,95489,,89,2458.55,
M,2060,92729,,63,3127.31,
M,1646,97915,,89,4786.1,
W,2032,99407,,88,6858.23,
M,1658,99309,,84,7130.01,
M,1784,91592,,0,5053.63,
M,1760,90757,,53,6309.17,
M,1706,92727,,69,3593.29,
W,2074,93044,,68,5717.18,
M,1670,97766,,100,7031.19,
M,1914,94458,,75,6875.16,
M,1873,94468,,96,8010.37,
M,1980,99834,,85,5290.02,
W,1754,97076,,74,7165.45,
M,1767,97117,,46,9906.31,
M,1748,91741,,47,6905.69,
M,1680,93741,,87,7577.04,
W,2073,93593,,45,8905.44,
W,1759,95721,,47,9834.47,
W,1892,99124,,78,7353.35,
M,1877,94770,,0,3742.02,
M,1784,94749,,0,5244.7,
M,1703,90309,,57,5421.42,
M,1883,95051,,53,4489.23,
M,1764,99395,,61,6040.5,
M,1648,99432,,0,6853.6,
M,1763,98214,,91,5191.67,
M,1729,99734,,42,4408.71,
M,2083,93250,,49,5216.69,
M,1888,98394,,73,3417.56,
M,1605,93432,,0,5175.6,
M,1979,92016,,74,2857.96,
M,1928,97250,,92,2618.64,
M,1938,91388,,51,9594.15,
X,2043,99844,,96,10838.56,
M,1640,92405,,0,7095.8,
X,1660,97223,,67,2450.98,
M,1695,98336,,76,7065.52,
M,1841,96077,,82,7925.8,
M,2073,92382,,95,6410.57,
M,1914,93492,,90,8946.6,
M,1682,94816,,0,4118.97,
X,1735,93191,,71,7588.08,
M,1749,92231,,62,10906.94,
M,1991,91711,,49,3070.53,
M,1926,92416,,95,6667.61,
M,1796,91583,,0,6354.49,
M,1902,95280,,82,5710.24,
U,1793,95984,,65,4937.5,
M,2069,91522,,94,4521.61,
M,1870,95284,,63,9029.22,
M,1651,91764,,53,4106.67,
M,1690,91069,,61,6057.99,
M,1909,93811,,48,4897.46,
U,1769,94310,,68,5603.84,
M,2015,94936,,83,10994.18,
M,1942,91029,,49,5429.92,
M,1962,95291,,60,9074.42,
M,1647,94726,,70,9879.8,
M,1882,97580,,0,3319.42,
M,1703,93372,,61,10987.13,
M,2047,94402,,75,4552.68,
M,2001,93890,,63,6100.37,
U,1994,91685,,50,2367.9,
M,1875,92679,,50,3637.1,
M,1917,94570,,0,4787.58,
M,1875,95498,,73,3613.4,
M,1827,97134,,95,7211.48,
M,1728,98858,,53,3819.68,
M,2004,97301,,60,11189.83,
M,1951,98737,,39,13389.24,
M,1885,95825,,0,10318.12,
M,2014,90791,,39,9396.91,
W,1743,93047,,52,2357.66,
M,1727,91942,,54,4475.23,
M,2057,91140,,62,6791.5,
W,1721,94046,,47,13096.87,
M,1861,99307,,0,3865.22,
M,1653,92751,,47,3615.66,
M,1722,96682,,81,4788.4,
M,1878,92740,,91,3956.28,
M,1806,95826,,66,5771.83,
W,1650,95265,,91,4891.43,
M,1761,93639,,0,6129.17,
M,1893,92810,,83,7416.63,
M,1601,95202,,40,4372.39,
W,1702,92350,,89,8559.75,
M,2064,93823,,44,10026.6,
M,2084,94589,,65,10366.06,
M,1939,91658,,52,8313,
M,1659,95443,,57,4230.15,
M,1943,90126,,0,3446.34,
M,1716,93641,,67,3033.92,
M,1873,97796,,72,4045.57,
M,1615,92174,,77,5092.47,
W,1795,91154,,61,4948.47,
M,2084,99743,,46,7499.42,
M,1763,93324,,97,6492.75,
U,1736,97608,,100,6332.42,
M,1837,92263,,82,7802.71,
M,1651,96819,,0,4074.95,
M,1764,99587,,80,4713.74,
M,1777,96411,,85,11438.23,
X,1781,93406,,78,6064.64,
M,1675,99798,,0,5911.45,
M,2042,91125,,85,5438.83,
M,1953,97170,,62,6411.89,
X,1651,94479,,86,8191.09,
M,1634,94122,,51,9281.48,
M,2043,97864,,49,6742.18,
M,1845,94008,,75,7890.4,
U,1822,98805,,90,8531.02,
M,1944,93088,,91,3332.15,
M,2002,98737,,68,11630.29,
M,2034,96743,,0,10492.93,
M,1909,96850,,57,6260.4,
U,1834,99460,,51,9033.98,
M,1813,93475,,68,4286.27,
M,1676,99419,,46,5157.03,
M,1796,96337,,91,10597.11,
M,1987,99585,,89,3875.5,
M,1652,92372,,0,5381.8,
M,1806,98335,,54,8275.32,
M,1725,98587,,71,3575.13,
U,2078,97154,,96,5688.08,
M,1797,98543,,91,3938.1,
W,1830,90628,,0,2887.47,
M,1679,97335,,39,7143.93,
W,1665,93525,,53,4187.46,
M,1843,90632,,95,9258.46,
M,1642,99344,,59,9246.81,
W,1679,93535,,91,9774.04,
M,1884,93969,,64,3152.89,
M,1895,90297,,0,5295.51,
M,1796,91456,,87,6794.88,
W,1659,94669,,86,2185.92,
M,1603,95431,,50,9980.14,
M,2007,95432,,55,3700.16,
M,1601,93876,,99,5810.81,
M,1694,93872,,0,4224.26,
W,1750,94039,,92,12929.03,
M,1692,99177,,96,7845.29,
M,1673,94670,,76,3889.41,
M,2017,99005,,98,5660.05,
M,1964,93724,,0,6218.84,
W,2010,94056,,0,6840.32,
M,1673,94212,,0,10776.68,
M,1950,95553,,54,10412.42,
M,1881,97727,,47,6753.4,
M,1972,99047,,45,9025,
W,1659,92183,,89,6800.48,
M,1802,96102,,46,4765.88,
M,1934,98273,,0,7693.99,
M,1718,98903,,0,6309.55,
M,1871,91183,,0,6414.65,
M,1674,94877,,0,5360.22,
W,1846,97481,,0,4197.12,
M,1712,97446,,0,8367.72,
M,1782,90376,,77,7138.42,
M,1858,99783,,42,8637.77,
M,2080,99031,,94,9514.18,
M,1688,94911,,98,6558.15,
W,1910,95658,,69,3496.18,
M,1966,99903,,81,9751.8,
M,1974,92133,,93,4489.08,
M,1922,91989,,55,12372.98,
M,1899,96164,,49,2119.49,
W,1927,96250,,0,4044.3,
M,1741,90322,,49,8781.54,
M,2079,90176,,0,5891.37,
W,1987,95018,,0,10827.59,
W,1791,92713,,0,2960.24,
W,1850,98660,,98,2964.91,
W,1901,99845,,0,11741.87,
W,1635,94320,,0,4634.93,
W,2087,99086,,0,12665.1,
W,1945,98517,,0,10809.57,
W,2087,94972,,42,9614.6,
W,1768,96951,,87,5784,
W,2067,94633,,99,9313.86,
M,1988,93880,,69,7608.95,
M,1704,99831,,0,11098.83,
M,1716,94258,,0,10265.12,
M,2012,96720,,100,11260.6,
W,2040,97613,,90,3277.54,
M,1615,97753,,61,4517.03,
M,2029,91883,,0,3991.43,
M,1748,90058,,0,10579.78,
W,2051,93405,,73,6328.82,
W,1644,95699,,53,7432.38,
W,1903,97004,,47,2770.86,
W,1655,96625,,92,8268.78,
W,1891,93517,,0,2300.01,
M,2022,92577,,83,5593.6,
M,1852,97153,,72,8589.64,
M,1623,90302,,81,4562.98,
M,1865,93431,,0,6438.83,
M,1975,92246,,0,5821.45,
M,1761,99149,,0,7780.48,
W,2049,93879,,92,11444.38,
M,1695,97745,,40,6093.41,
M,1944,97189,,52,8964.31,
M,1706,95729,,86,9807.14,
M,1879,96487,,90,5602.79,
W,1660,97809,,60,4356.93,
W,1845,91907,,0,9305.7,
W,1973,94291,,0,6261.07,
W,1839,91755,,65,5390.87,
M,2000,90704,,94,3502.88,
M,1650,99964,,79,11166.98,
M,1996,99425,,45,7699.02,
W,1688,96213,,53,7220.04,
W,1861,92210,,47,3254.88,
W,1656,90423,,0,6284.99,
W,2058,95687,,83,9089.27,
M,1724,92701,,39,8223.1,
M,1921,95546,,74,5881.23,
M,1613,93478,,49,9144.26,
M,1993,91391,,0,8055.56,
M,1767,97321,,0,9607.09,
M,1771,96074,,0,12175.82,
M,2043,92535,,0,8582.05,
M,2064,96920,,0,13153.89,
M,1835,94409,,0,7145.62,
M,1767,92931,,0,8666.95,
M,1991,92598,,86,5776.28,
W,1674,97162,,53,8716.87,
W,1624,93415,,76,4970.32,
M,1668,98836,,61,10110.44,
W,1942,94043,,0,3840.79,
W,1702,91061,,0,13914.81,
M,1891,99104,,0,11193.07,
M,1742,96740,,88,2099.41,
M,1948,97931,,87,4302.47,
M,1831,95955,,71,8432.77,
W,2046,96458,,72,6908.7,
M,1988,94743,,74,3982.9,
M,2012,90969,,0,4797.56,
M,1654,97131,,0,7489.11,
W,2080,91023,,0,6944.58,
M,1811,90361,,0,7001.45,
M,2019,95968,,0,5436.01,
W,1992,94243,,50,3853.66,
M,1810,91491,,43,10102.53,
M,1997,91833,,50,4273.83,
W,1854,98003,,44,5790.29,
M,1871,91581,,60,6599.07,
M,1715,94351,,0,8441.68,
W,2030,96313,,0,6814.43,
M,1989,91010,,0,3329.25,
M,2085,95764,,99,5671.55,
M,2005,98626,,39,4410.8,
W,1839,90451,,91,7298.55,
W,2063,99240,,86,3804.25,
W,2049,94334,,56,11036.1,
W,2081,92344,,0,10136.59,
W,1892,98488,,0,5600.18,
W,1953,95512,,56,11908.81,
M,1778,94880,,51,10177.12,
M,1726,91078,,71,6042.38,
M,1789,98709,,0,7546.52,
M,1676,95550,,0,7641.61,
W,1707,95206,,0,4760.46,
W,1801,90982,,83,5141.76,
W,1635,91613,,55,6021.14,
W,1837,93040,,51,8267.14,
W,1762,92364,,89,5631.07,
W,1711,97447,,89,5171.14,
M,2039,98177,,41,7858.17,
M,1607,96652,,67,5051.83,
M,1655,97164,,0,10957.85,
M,1927,97856,,0,6662.48,
M,1775,97257,,0,6002.6,
M,1684,94321,,0,3710.22,
W,1914,94769,,0,9105.4,
M,2019,91935,,0,10128.85,
W,1767,95621,,0,11106.09,
W,1994,93904,,84,11008.01,
W,2033,96648,,44,6858.86,
W,2008,94759,,71,5073.73,
W,1865,99549,,0,4051.39,
M,1928,98945,,64,7627.77,
M,1856,90800,,52,2561.54,
M,2030,96039,,77,5774.8,
M,1764,97003,,79,4551.05,
W,1789,90227,,0,4649.8,
M,1844,93561,,0,7955.52,
M,1673,99397,,0,6368.89,
M,1905,93169,,0,3440.31,
